"Date","Price","Open","High","Low","Vol.","Change %"
"20/02/2024","1,010.87","1,003.57","1,010.87","1,001.90","3.99B","1.26%"
"21/02/2024","1,008.41","1,009.39","1,012.28","997.44","5.26B","-0.24%"
"22/02/2024","1,002.51","1,005.33","1,008.34","1,000.13","3.46B","-0.59%"
"23/02/2024","994.16","999.65","1,001.65","988.87","3.97B","-0.83%"
"26/02/2024","991.60","990.33","994.28","986.72","3.43B","-0.26%"
"27/02/2024","992.69","987.25","994.74","985.39","6.09B","0.11%"
"28/02/2024","997.25","994.16","999.31","990.87","9.81B","0.46%"
"29/02/2024","989.93","996.85","998.06","986.28","9.35B","-0.73%"
"01/03/2024","987.90","990.48","992.88","981.24","4.13B","-0.21%"
"04/03/2024","981.95","989.42","990.45","979.79","7.06B","-0.60%"
"05/03/2024","979.88","986.29","987.72","979.30","3.84B","-0.21%"
"06/03/2024","994.06","980.88","995.04","980.61","8.78B","1.45%"
"07/03/2024","996.56","996.01","1,000.61","993.85","8.53B","0.25%"
"08/03/2024","1,000.35","1,001.92","1,004.80","998.78","3.51B","0.38%"
"13/03/2024","1,003.48","1,009.18","1,009.61","999.94","4.41B","0.31%"
"14/03/2024","1,011.60","1,000.04","1,011.60","998.61","4.94B","0.81%"
"15/03/2024","997.47","1,006.20","1,007.87","991.01","14.42B","-1.40%"
"18/03/2024","993.60","999.66","1,004.73","993.60","6.77B","-0.39%"
"19/03/2024","997.15","997.57","1,004.03","996.14","4.85B","0.36%"
"20/03/2024","992.93","989.97","995.32","988.12","7.90B","-0.42%"
"21/03/2024","994.77","999.38","1,003.94","994.77","4.54B","0.19%"
"22/03/2024","996.74","992.41","997.24","990.58","3.74B","0.20%"
"25/03/2024","1,001.91","994.44","1,001.91","990.20","3.39B","0.52%"
"26/03/2024","997.80","993.12","999.03","991.76","4.88B","-0.41%"
"27/03/2024","990.37","997.49","999.10","988.76","3.93B","-0.74%"
"28/03/2024","985.97","985.78","991.28","979.99","4.02B","-0.44%"
"01/04/2024","969.08","985.27","986.92","957.79","3.32B","-1.71%"
"02/04/2024","968.37","967.70","969.82","953.53","4.47B","-0.07%"
"03/04/2024","953.90","963.03","965.41","951.66","3.31B","-1.49%"
"04/04/2024","967.77","954.85","968.67","954.78","3.27B","1.45%"
"05/04/2024","963.73","965.73","970.61","963.49","2.77B","-0.42%"
"16/04/2024","935.34","928.68","947.27","924.96","8.00B","-2.95%"
"17/04/2024","928.35","943.30","946.71","928.35","5.13B","-0.75%"
"18/04/2024","935.51","932.90","939.55","929.86","4.17B","0.77%"
"19/04/2024","920.31","927.44","929.54","914.45","5.94B","-1.62%"
"22/04/2024","921.46","922.77","926.69","912.32","4.07B","0.12%"
"23/04/2024","927.64","927.95","937.95","924.33","5.20B","0.67%"
"24/04/2024","931.35","931.16","936.67","924.88","5.02B","0.40%"
"25/04/2024","923.49","929.79","931.81","920.62","3.72B","-0.84%"
"26/04/2024","898.78","919.45","921.89","898.78","4.50B","-2.68%"
"29/04/2024","915.35","895.22","917.38","894.65","4.75B","1.84%"
"30/04/2024","926.73","922.62","933.97","919.58","5.80B","1.24%"
"01/05/2024","926.73","922.62","933.97","919.58","","0.00%"
"02/05/2024","898.75","925.48","925.95","893.48","4.80B","-3.02%"
"03/05/2024","903.33","904.15","908.31","894.89","6.48B","0.51%"
"06/05/2024","906.29","910.90","912.30","900.05","6.08B","0.33%"
"07/05/2024","898.02","906.22","908.28","897.15","4.32B","-0.91%"
"08/05/2024","893.43","898.90","906.55","891.85","4.36B","-0.51%"
"13/05/2024","895.55","887.55","897.21","885.36","4.27B","0.24%"
"14/05/2024","892.58","895.20","898.78","891.01","3.24B","-0.33%"
"15/05/2024","901.40","893.02","904.78","890.92","3.42B","0.99%"
"16/05/2024","909.31","906.67","912.59","904.90","4.89B","0.88%"
"17/05/2024","919.51","909.91","925.64","909.03","7.43B","1.12%"
"20/05/2024","908.54","922.17","927.98","905.39","5.28B","-1.19%"
"21/05/2024","891.58","906.82","909.83","890.69","3.78B","-1.87%"
"22/05/2024","895.84","894.02","900.51","891.30","4.64B","0.48%"
"27/05/2024","889.79","895.00","902.09","889.25","9.29B","-0.68%"
"28/05/2024","900.82","900.23","913.75","898.29","7.07B","1.24%"
"29/05/2024","886.18","904.88","905.80","884.85","5.88B","-1.62%"
"30/05/2024","874.12","883.01","886.42","863.96","7.54B","-1.36%"
"31/05/2024","871.42","882.88","887.95","871.42","15.38B","-0.31%"
"03/06/2024","888.28","883.75","891.50","876.08","5.12B","1.93%"
"04/06/2024","895.80","895.73","905.01","893.65","6.44B","0.85%"
"05/06/2024","881.70","899.30","900.24","879.63","5.49B","-1.57%"
"06/06/2024","892.10","890.95","896.91","884.97","5.45B","1.18%"
"07/06/2024","883.93","894.69","895.40","882.94","3.90B","-0.92%"
"10/06/2024","884.84","886.72","887.25","879.57","14.04B","0.10%"
"11/06/2024","867.78","880.60","882.62","867.78","7.44B","-1.93%"
"12/06/2024","862.86","868.48","869.91","861.05","6.60B","-0.57%"
"13/06/2024","858.63","872.16","872.29","858.39","7.79B","-0.49%"
"14/06/2024","845.50","858.27","860.47","842.11","5.69B","-1.53%"
"19/06/2024","839.62","846.25","852.04","838.17","11.37B","-0.70%"
"20/06/2024","854.78","844.74","854.78","841.32","5.34B","1.81%"
"21/06/2024","867.20","858.72","875.27","857.21","11.11B","1.45%"
"24/06/2024","864.40","866.70","871.30","864.00","3.44B","-0.32%"
