"Date","Price","Open","High","Low","Vol.","Change %"
"25/06/2024","861.67","861.21","862.89","853.74","3.88B","-0.32%"
"26/06/2024","863.29","862.18","870.19","861.47","3.51B","0.19%"
"27/06/2024","874.39","868.23","875.84","865.12","2.61B","1.29%"
"28/06/2024","887.73","879.33","893.08","878.82","3.66B","1.52%"
"01/07/2024","896.66","890.24","897.02","888.97","2.49B","1.01%"
"02/07/2024","892.72","898.85","902.03","889.90","2.43B","-0.44%"
"03/07/2024","897.60","898.49","898.91","889.97","2.17B","0.55%"
"04/07/2024","899.85","900.56","909.05","899.34","2.63B","0.25%"
"05/07/2024","906.64","905.47","911.00","901.68","1.82B","0.75%"
"08/07/2024","904.33","908.46","908.66","899.45","2.60B","-0.25%"
"09/07/2024","909.42","904.96","915.03","902.56","2.25B","0.56%"
"10/07/2024","912.33","912.33","916.23","910.24","9.70B","0.32%"
"11/07/2024","915.36","915.15","919.23","912.18","3.04B","0.33%"
"12/07/2024","920.38","922.25","925.61","917.61","2.05B","0.55%"
"15/07/2024","912.58","922.07","922.58","908.44","1.74B","-0.85%"
"16/07/2024","904.55","914.72","915.84","903.16","1.59B","-0.88%"
"17/07/2024","910.07","911.93","913.09","905.66","10.94B","0.61%"
"18/07/2024","922.78","911.56","923.69","910.60","4.08B","1.40%"
"19/07/2024","919.53","919.31","920.21","912.32","3.40B","-0.35%"
"22/07/2024","923.25","923.97","925.53","920.08","3.22B","0.40%"
"23/07/2024","923.26","926.34","927.17","919.59","14.07B","0.00%"
"24/07/2024","917.17","920.15","923.48","915.04","4.09B","-0.66%"
"25/07/2024","916.16","917.75","918.31","908.84","2.79B","-0.11%"
"26/07/2024","920.39","920.55","924.16","918.80","2.37B","0.46%"
"29/07/2024","920.60","923.65","927.49","918.00","3.13B","0.02%"
"30/07/2024","910.76","919.88","920.54","908.98","2.98B","-1.07%"
"31/07/2024","913.71","913.17","916.99","910.80","5.02B","0.32%"
"01/08/2024","925.51","917.47","926.03","915.48","3.16B","1.29%"
"02/08/2024","919.37","921.15","925.16","914.44","3.92B","-0.66%"
"05/08/2024","890.71","908.71","909.16","882.15","8.59B","-3.12%"
"06/08/2024","899.18","898.35","905.33","891.56","3.09B","0.95%"
"07/08/2024","903.79","903.09","906.90","898.93","3.02B","0.51%"
"08/08/2024","898.90","903.94","906.70","897.65","3.13B","-0.54%"
"09/08/2024","908.13","904.10","912.11","904.09","2.95B","1.03%"
"12/08/2024","908.20","909.26","909.98","902.60","5.93B","0.01%"
"13/08/2024","912.51","911.95","914.90","906.12","3.04B","0.47%"
"14/08/2024","922.64","916.48","925.32","913.64","4.93B","1.11%"
"15/08/2024","919.52","924.01","925.44","914.49","3.04B","-0.34%"
"16/08/2024","925.27","926.64","928.39","922.65","2.60B","0.63%"
"19/08/2024","928.17","924.68","928.17","920.69","2.65B","0.31%"
"20/08/2024","939.14","932.72","940.10","929.88","4.69B","1.18%"
"21/08/2024","942.37","944.94","948.76","940.80","4.97B","0.34%"
"22/08/2024","934.36","937.79","940.98","928.58","3.14B","-0.85%"
"23/08/2024","943.22","938.73","946.98","937.76","2.54B","0.95%"
"26/08/2024","950.06","944.18","953.56","943.75","3.08B","0.73%"
"27/08/2024","946.51","948.48","950.27","939.76","3.02B","-0.37%"
"28/08/2024","948.65","947.86","951.11","939.77","3.34B","0.23%"
"29/08/2024","942.13","952.73","953.60","942.13","3.26B","-0.69%"
"30/08/2024","944.48","945.28","947.74","938.27","7.18B","0.25%"
"02/09/2024","950.37","947.58","955.62","946.22","2.64B","0.62%"
"03/09/2024","942.28","952.85","955.24","940.34","2.49B","-0.85%"
"04/09/2024","941.69","934.42","944.64","931.61","2.43B","-0.06%"
"05/09/2024","943.78","943.08","947.67","939.42","2.12B","0.22%"
"06/09/2024","950.19","944.54","953.23","943.61","2.29B","0.68%"
"09/09/2024","947.70","951.73","953.67","942.67","2.88B","-0.26%"
"10/09/2024","951.84","952.34","952.87","945.82","9.13B","0.44%"
"11/09/2024","951.63","953.72","955.73","948.45","4.23B","-0.02%"
"12/09/2024","958.48","955.86","963.66","955.86","13.08B","0.72%"
"13/09/2024","959.36","960.09","961.30","953.55","5.78B","0.09%"
"17/09/2024","966.92","963.38","968.13","961.13","9.18B","0.79%"
"18/09/2024","970.25","969.69","973.61","966.12","10.81B","0.34%"
"19/09/2024","979.68","975.90","981.91","973.55","11.15B","0.97%"
"20/09/2024","973.20","979.44","981.16","971.35","14.75B","-0.66%"
"23/09/2024","985.26","973.10","985.26","972.10","7.25B","1.24%"
"24/09/2024","985.41","984.91","988.27","983.06","5.49B","0.02%"
"25/09/2024","977.15","979.45","980.72","958.70","14.28B","-0.84%"
"26/09/2024","970.54","973.59","975.08","963.75","9.04B","-0.68%"
"27/09/2024","959.94","964.34","967.46","956.19","8.71B","-1.09%"
"30/09/2024","938.92","955.47","956.27","938.92","8.29B","-2.19%"
"01/10/2024","953.36","943.58","953.36","941.67","4.06B","1.54%"
"02/10/2024","938.70","944.97","950.95","933.22","7.79B","-1.54%"
"03/10/2024","937.39","939.31","941.72","931.31","6.06B","-0.14%"
"04/10/2024","929.73","934.83","937.37","924.51","10.83B","-0.82%"
"07/10/2024","927.37","929.12","934.11","921.27","10.53B","-0.25%"
"08/10/2024","939.27","923.82","944.67","918.26","5.80B","1.28%"
"09/10/2024","931.13","939.16","945.78","931.00","5.33B","-0.87%"
"10/10/2024","928.76","931.20","935.55","926.87","3.83B","-0.25%"
"11/10/2024","933.24","936.92","938.78","932.24","3.18B","0.48%"
"14/10/2024","937.73","932.89","940.29","932.88","7.03B","0.48%"
"15/10/2024","948.61","941.66","950.26","938.73","5.36B","1.16%"
"16/10/2024","949.21","952.35","952.80","945.50","6.13B","0.06%"
"17/10/2024","958.58","951.69","963.88","950.64","4.17B","0.99%"
"18/10/2024","961.00","964.17","967.12","956.73","3.21B","0.25%"
"21/10/2024","961.39","965.08","966.13","957.10","6.14B","0.04%"
"22/10/2024","954.38","957.15","960.75","952.73","10.81B","-0.73%"
"23/10/2024","954.76","951.17","955.83","950.86","6.05B","0.04%"
"24/10/2024","947.17","952.95","958.11","947.17","5.29B","-0.79%"
"25/10/2024","943.25","947.29","951.42","940.92","4.46B","-0.41%"
"28/10/2024","934.85","945.50","945.61","930.83","5.43B","-0.89%"
"29/10/2024","930.07","932.89","937.08","927.39","4.17B","-0.51%"
"30/10/2024","924.63","920.26","926.37","916.52","3.83B","-0.58%"
"31/10/2024","921.41","924.57","931.48","921.41","6.70B","-0.35%"
"01/11/2024","912.61","921.29","922.84","909.16","3.63B","-0.96%"
"04/11/2024","913.42","912.60","917.42","901.78","6.18B","0.09%"
"05/11/2024","920.14","912.13","920.42","909.70","4.38B","0.74%"
"06/11/2024","901.43","920.74","921.77","899.44","5.28B","-2.03%"
