Date,Close,Open,High,Low,Vol.,Change %
31/07/2024,913.71,913.17,916.99,910.8,5.02B,0.0032
1/8/2024,925.51,917.47,926.03,915.48,3.16B,0.0129
2/8/2024,919.37,921.15,925.16,914.44,3.92B,-0.0066
5/8/2024,890.71,908.71,909.16,882.15,8.59B,-0.0312
6/8/2024,899.18,898.35,905.33,891.56,3.09B,0.0095
7/8/2024,903.79,903.09,906.9,898.93,3.02B,0.0051
8/8/2024,898.9,903.94,906.7,897.65,3.13B,-0.0054
9/8/2024,908.13,904.1,912.11,904.09,2.95B,0.0103
12/8/2024,908.2,909.26,909.98,902.6,5.93B,0.0001
13/08/2024,912.51,911.95,914.9,906.12,3.04B,0.0047
14/08/2024,922.64,916.48,925.32,913.64,4.93B,0.0111
15/08/2024,919.52,924.01,925.44,914.49,3.04B,-0.0034
16/08/2024,925.27,926.64,928.39,922.65,2.60B,0.0063
19/08/2024,928.17,924.68,928.17,920.69,2.65B,0.0031
20/08/2024,939.14,932.72,940.1,929.88,4.69B,0.0118
21/08/2024,942.37,944.94,948.76,940.8,4.97B,0.0034
22/08/2024,934.36,937.79,940.98,928.58,3.14B,-0.0085
23/08/2024,943.22,938.73,946.98,937.76,2.54B,0.0095
26/08/2024,950.06,944.18,953.56,943.75,3.08B,0.0073
27/08/2024,946.51,948.48,950.27,939.76,3.02B,-0.0037
28/08/2024,948.65,947.86,951.11,939.77,3.34B,0.0023
29/08/2024,942.13,952.73,953.6,942.13,3.26B,-0.0069
30/08/2024,944.48,945.28,947.74,938.27,7.18B,0.0025
2/9/2024,950.37,947.58,955.62,946.22,2.64B,0.0062
3/9/2024,942.28,952.85,955.24,940.34,2.49B,-0.0085
4/9/2024,941.69,934.42,944.64,931.61,2.43B,-0.0006
5/9/2024,943.78,943.08,947.67,939.42,2.12B,0.0022
6/9/2024,950.19,944.54,953.23,943.61,2.29B,0.0068
9/9/2024,947.7,951.73,953.67,942.67,2.88B,-0.0026
10/9/2024,951.84,952.34,952.87,945.82,9.13B,0.0044
11/9/2024,951.63,953.72,955.73,948.45,4.23B,-0.0002
12/9/2024,958.48,955.86,963.66,955.86,13.08B,0.0072
13/09/2024,959.36,960.09,961.3,953.55,5.78B,0.0009
17/09/2024,966.92,963.38,968.13,961.13,9.18B,0.0079
18/09/2024,970.25,969.69,973.61,966.12,10.81B,0.0034
19/09/2024,979.68,975.9,981.91,973.55,11.15B,0.0097
20/09/2024,973.2,979.44,981.16,971.35,14.75B,-0.0066
23/09/2024,985.26,973.1,985.26,972.1,7.25B,0.0124
24/09/2024,985.41,984.91,988.27,983.06,5.49B,0.0002
25/09/2024,977.15,979.45,980.72,958.7,14.28B,-0.0084
26/09/2024,970.54,973.59,975.08,963.75,9.04B,-0.0068
27/09/2024,959.94,964.34,967.46,956.19,8.71B,-0.0109
30/09/2024,938.92,955.47,956.27,938.92,8.29B,-0.0219
1/10/2024,953.36,943.58,953.36,941.67,4.06B,0.0154
2/10/2024,938.7,944.97,950.95,933.22,7.79B,-0.0154
3/10/2024,937.39,939.31,941.72,931.31,6.06B,-0.0014
4/10/2024,929.73,934.83,937.37,924.51,10.83B,-0.0082
7/10/2024,927.37,929.12,934.11,921.27,10.53B,-0.0025
8/10/2024,939.27,923.82,944.67,918.26,5.80B,0.0128
9/10/2024,931.13,939.16,945.78,931,5.33B,-0.0087
10/10/2024,928.76,931.2,935.55,926.87,3.83B,-0.0025
11/10/2024,933.24,936.92,938.78,932.24,3.18B,0.0048
14/10/2024,937.73,932.89,940.29,932.88,7.03B,0.0048
15/10/2024,948.61,941.66,950.26,938.73,5.36B,0.0116
16/10/2024,949.21,952.35,952.8,945.5,6.13B,0.0006
17/10/2024,958.58,951.69,963.88,950.64,4.17B,0.0099
18/10/2024,961,964.17,967.12,956.73,3.21B,0.0025
21/10/2024,961.39,965.08,966.13,957.1,6.14B,0.0004
22/10/2024,954.38,957.15,960.75,952.73,10.81B,-0.0073
23/10/2024,954.76,951.17,955.83,950.86,6.05B,0.0004
24/10/2024,947.17,952.95,958.11,947.17,5.29B,-0.0079
25/10/2024,943.25,947.29,951.42,940.92,4.46B,-0.0041
28/10/2024,934.85,945.5,945.61,930.83,5.43B,-0.0089
29/10/2024,930.07,932.89,937.08,927.39,4.17B,-0.0051
30/10/2024,924.63,920.26,926.37,916.52,3.83B,-0.0058
31/10/2024,921.41,924.57,931.48,921.41,6.70B,-0.0035
1/11/2024,912.61,921.29,922.84,909.16,3.63B,-0.0096
4/11/2024,913.42,912.6,917.42,901.78,6.18B,0.0009
5/11/2024,920.14,912.13,920.42,909.7,4.38B,0.0074
6/11/2024,901.43,920.74,921.77,899.44,5.28B,-0.0203
