Date,Close,Open,High,Low,Vol.,Change %
22/05/2023,945.43,939.57,951.84,935.18,6.18B,0.0062
23/05/2023,946.11,945.43,953.61,945.13,6.23B,0.0007
24/05/2023,948.48,946.11,950.15,941.98,4.95B,0.0025
25/05/2023,941.83,948.48,950.49,941.83,5.80B,-0.007
26/05/2023,942.25,941.83,946.89,939.22,5.48B,0.0005
29/05/2023,946.58,942.31,946.82,934.08,6.48B,0.0046
30/05/2023,943.1,946.58,951.09,940.49,7.88B,-0.0037
31/05/2023,949.66,943.1,949.66,934.75,50.11B,0.007
5/6/2023,946.57,949.66,954.67,942.54,5.78B,-0.0033
6/6/2023,946.68,946.57,951.92,939.29,12.12B,0.0001
7/6/2023,945.39,946.71,949.59,939.17,5.54B,-0.0014
8/6/2023,953.39,945.39,953.39,941.48,6.97B,0.0085
9/6/2023,954.24,953.33,955.79,948.26,8.77B,0.0009
12/6/2023,952.72,954.36,954.5,946.86,5.51B,-0.0016
13/06/2023,952.58,952.72,955.35,947.6,5.93B,-0.0001
14/06/2023,949.81,952.55,956.03,946.13,5.24B,-0.0029
15/06/2023,952.27,949.81,952.93,944.26,4.65B,0.0026
16/06/2023,952.16,952.21,954.63,943.91,7.06B,-0.0001
19/06/2023,950.03,952.16,952.84,946.42,3.40B,-0.0022
20/06/2023,948.81,950.03,951.32,942.64,3.21B,-0.0013
21/06/2023,954.69,948.81,954.98,944.58,3.02B,0.0062
22/06/2023,944.37,954.72,956.63,944.37,3.79B,-0.0108
23/06/2023,942.72,944.37,947.05,941.77,2.74B,-0.0017
26/06/2023,946.11,942.72,949,939.71,3.76B,0.0036
27/06/2023,945.7,946.11,950.82,944.82,5.30B,-0.0004
3/7/2023,952.57,945.67,952.57,945.48,3.26B,0.0073
4/7/2023,948.73,952.6,956.19,947.1,3.23B,-0.004
5/7/2023,953.44,948.73,953.44,947.33,2.95B,0.005
6/7/2023,956.4,953.3,958.42,950.24,3.32B,0.0031
7/7/2023,947.73,956.34,956.34,947.62,3.39B,-0.0091
10/7/2023,949.16,947.73,956.1,947.73,2.01B,0.0015
11/7/2023,954.96,949.19,956.34,949.08,3.69B,0.0061
12/7/2023,957.99,954.96,960.72,954.25,3.03B,0.0032
13/07/2023,956.95,958.02,962.71,954.03,4.04B,-0.0011
